District,Block Name,Total No of Works,Road Length,Sanction Cost,State
Chittoor,Mulakalacheruvu,,,,Andhra Pradesh
Chittoor,Nagalapuram,,,,Andhra Pradesh
Chittoor,Nagari,2,10.750,326.00,Andhra Pradesh
Chittoor,Narayanavanam,2,5.650,215.80,Andhra Pradesh
Chittoor,Nimmanapalle,,,,Andhra Pradesh
Chittoor,Nindra,,,,Andhra Pradesh
Chittoor,Pakala,4,12.900,442.90,Andhra Pradesh
Chittoor,Palamaner,,,,Andhra Pradesh
Chittoor,Palasamudram,,,,Andhra Pradesh
Chittoor,Pedda Panjani,,,,Andhra Pradesh
Chittoor,Peddamandyam,1,9.400,290.10,Andhra Pradesh
Chittoor,Peddathippasamudram,1,8.750,288.00,Andhra Pradesh
Chittoor,Penumuru,2,7.750,234.25,Andhra Pradesh
Chittoor,Pichatur,,,,Andhra Pradesh
Chittoor,Pileru,,,,Andhra Pradesh
Chittoor,Pulicherla,2,7.920,266.50,Andhra Pradesh
Chittoor,Punganur,1,7.715,248.00,Andhra Pradesh
Chittoor,Puthalapattu,1,2.100,58.00,Andhra Pradesh
Chittoor,Puttur,1,3.150,111.80,Andhra Pradesh
Chittoor,Rama Kuppam,,,,Andhra Pradesh
Chittoor,Ramachandrapuram,1,3.500,119.40,Andhra Pradesh
Chittoor,Ramasamudram,,,,Andhra Pradesh
Chittoor,Renigunta,,,,Andhra Pradesh
Chittoor,Rompicherla,2,6.660,208.30,Andhra Pradesh
Chittoor,Santhi Puram,2,8.700,286.20,Andhra Pradesh
Chittoor,Satyavedu,,,,Andhra Pradesh
Chittoor,Sodam,1,3.700,144.00,Andhra Pradesh
Chittoor,Somala,2,10.815,395.00,Andhra Pradesh
Chittoor,Srikalahasti,,,,Andhra Pradesh
Chittoor,Srirangarajapuram,1,6.500,232.00,Andhra Pradesh
Chittoor,Thamballapalle,,,,Andhra Pradesh
Chittoor,Thavanampalle,1,1.730,54.15,Andhra Pradesh
Chittoor,Thottambedu,,,,Andhra Pradesh
Chittoor,Tirupati Rural,2,3.325,115.00,Andhra Pradesh
Chittoor,Tirupati Urban,,,,Andhra Pradesh
Chittoor,Vadamalapeta,,,,Andhra Pradesh
Chittoor,Varadaiahpalem,1,4.200,99.50,Andhra Pradesh
Chittoor,Vayalpad,,,,Andhra Pradesh
Chittoor,Veduru Kuppam,1,5.200,140.50,Andhra Pradesh
Chittoor,Venkatagiri Kota,,,,Andhra Pradesh
Chittoor,Vijaya Puram,1,4.300,150.45,Andhra Pradesh
Chittoor,Yadamari,1,5.000,162.45,Andhra Pradesh
Chittoor,Yerpedu,,,,Andhra Pradesh
Chittoor,Yerravaripalem,2,10.550,314.00,Andhra Pradesh
East Godavari,Addateegala,7,18.500,485.13,Andhra Pradesh
East Godavari,Ainavilli,2,2.760,87.98,Andhra Pradesh
